,Address,Street,Number,Postal,City,Country
0,Umweltservice Wartburgregion GmbH;Über dem Teich 8 99817 Eisenach,Über dem Teich,8,99817,Eisenach,Germany 
0,Rohde Elektrotechnik-Schaltanlagen-Netzwerktechnik GmbH & Co. KG ;Berlinner Damm 201 15831 Blankenfelde-Mahlow,Berliner Damm,201,15831,Blankenfelde-Mahlow,Germany 
0,MVR Müllverwertung Rugenberger Damm GmbH ;Rugenberger Damm 21129 Hamburg,Rugenberger Damm,1,21129,Hamburg,Germany 
0,Südwestfalen Energie und Wasser AG;Platz der Impulse 1 58093 Hagen,Platz der Impulse,1,58093,Hagen,Germany 
0,Jungheinrich AG;Friedrich-Ebert-Damm 129 22047 Hamburg,Friedrich-Ebert-Damm,129,22047,Hamburg,Germany 
0,"Städtische Werke Aktiengesellschaft, Kassel;Königstor 3-13 34117 Kassel",Königstor,3-13,34117,Kassel,Germany 
0,STWB STADTWERKE BRANDENBURG AN DER HAVEL GMBH & CO. KG;Packhofstraße 31 14776 Brandenburg an der Havel,Packhofstraße,31,14776,Brandenburg an der Havel,Germany 
0,TEGA-Technische Gase und Gasetechnik GmbH;Werner-von-Siemens-Straße 18 97076 Würzburg,Werner-von-Siemens-Straße,18,97076,Würzburg,Germany 
0,RSAG AöR;Pleiser Hecke 4 53721 Siegburg,Pleiser Hecke,4,53721,Siegburg,Germany
0,Regionetz GmbH;Lombardenstraße 12-22 52070 Aachen,Lombardenstraße,12-22,52070,Aachen,Germany 
0,Power Plus Communications AG;Dudenstraße 6 68167 Mannheim,Dudenstraße,6,68167,Mannheim,Germany 
0,Lechwerke AG;Schaezlerstraße 3 86150 Augsburg,Schaezlerstraße,3,86150,Augsburg,Germany
0,GASAG;EUREF-Campus 23–24 10829 Berlin  ,EUREF-Campus,23-24,10829,Berlin,Germany 
0,Energieversorgung Offenbach AG (EVO);Andréstraße 71 63067 Offenbach am Main,Andréstraße,71,63067,Offenbach am Main,Germany 
0,Erdgas Südwest GmbH;Siemensstraße 9 76275 Ettlingen,Siemensstraße,9,76275,Ettlingen,Germany 
0,Dorr GmbH & Co. KG;Unterwanger Straße 8 87439 Kempten (Allgäu),Unterwanger Str.,8,87439,Kempten (Allgäu),Germany 
0,Blockheizkraftwerks- Träger- und Betreibergesellschaft mbH Berlin;Gaußstraße 11 10589 Berlin,Gaußstraße,11,10589,Berlin,Germany 
0,W. Baelz & Sohn GmbH & Co.;Koepffstraße 5 74076 Heilbronn,Koepffstraße,5,74076,Heilbronn,Germany 
0,esolva AG;Dunantstrasse 12 8570 Weinfelden,Dunantstrasse,12,8570,Weinfelden,Switzerland 
0,Kraftwerke Oberhasli AG;Grimselstrasse 19 3862 Innertkirchen,Grimselstrasse,19,3862,Innertkirchen,Switzerland 
0,Kraftwerke Oberhasli AG;Grimselstrasse 19 3862 Innertkirchen,Grimselstrasse,19,3862,Innertkirchen,Switzerland 
0,Glattwerk AG;Usterstrasse 111 8600 Dübendorf,Usterstrasse,111,8600,Dübendorf,Switzerland 
0,ewl energie wasser luzern;Industriestrasse 6 6002 Luzern,Industriestrasse,6,6005,Luzern,Switzerland 
0,Elektrizitätswerke des Kantons Zürich (EKZ);Dreikönigstrasse 18 CH-8022 Zürich,Dreikönigstrasse,18,8002,Zürich,Switzerland 
0,EKT Holding AG;Bahnhofstrasse 37#9320 Arbon,Bahnhofstrasse,37,9320,Arbon,Switzerland 
0,BKW Management AG;Viktoriaplatz 2 3013 Bern,Viktoriapl.,2,3013,Bern,Switzerland 
0,FELDER KG;KR-Felder-Straße 1 6060 HALL IN TIROL,KR-Felder-Straße,1,6060,Hall in Tirol,Austria 
0,ASTA Energy Transmission Components GmbH  ;Oed 1 A-2755 Oed / District of Wiener Neustadt Austria  ,Oed,1,2755,Oed,Austria 
0,Stadtwerke Hartberg Verwaltungs Gesellschaft m.b.H.;Am Ökopark 10 8230 Hartberg AUSTRIA,Am ÖKOPARK,10,8230,Hartberg,Austria 
0,CCE Holding GmbH;Gertrude-Fröhlich-Sandner-Straße 2-4 The Icon Vienna 1100 Wien,Gertrude-Fröhlich-Sandner-Straße,2,1100,Wien,Austria 
0,technotrans SE;Robert-Linnemann-Straße 17 48336 Sassenberg,Robert-Linnemann-Straße,17,48336,Sassenberg,Germany 
0,STRATEC SE;Gewerbestr. 37 75217 Birkenfeld,Gewerbestraße,37,75217,Birkenfeld,Germany 
0,"Solarlux GmbH;Industriepark 1 49324 Melle, Germany",Industriepark,1,49324,Melle,Germany 
0,Olympus Winter & Ibe GmbH;Kuehnstr. 61 22045 Hamburg,Kuehnstraße,61,22045,Hamburg,Germany 
0,Koch Mobile GmbH;Aschenhausweg 5  74523 Schwäbisch Hall,Aschenhausweg,5,74523,Schwäbisch Hall,Germany 
0,Knaus Tabbert AG;Helmut‐Knaus‐Str. 1 94118 Jandelsbrunn,Helmut-Knaus-Straße,1,94118,Jandelsbrunn,Germany 
0,Hettich Holding GmbH & Co. oHG;Vahrenkampstraße 12-16 32278 Kirchlengern,Vahrenkampstraße,12-16,32278,Kirchlengern,Germany 
0,Groz-Beckert KG;Parkweg 2 72458 Albstadt,Parkweg,2,72458,Albstadt,Germany 
0,FLACHGLAS Wernberg GmbH;Nürnberger Straße 140 92533 Wernberg-Köblitz,Nürnberger Str.,140,92533,Wernberg-Köblitz,Germany 
0,SBS Ecoclean Group;Savignystrasse 43 60325 Frankfurt am Main,Savignystraße,43,60325,Frankfurt am Main,Germany 
0,Develey Senf & Feinkost GmbH;Ottobrunner Str. 45 82008 Unterhaching/München,Ottobrunner Str.,45,82008,Unterhaching,Germany 
0,TÜV Rheinland AG;Am Grauen Stein 51105 Köln,Am Grauen,Stein,51105,Köln,Germany 
0,Hartmetall-Werkzeugfabrik Paul Horn GmbH;Horn-Straße 1 72072 Tübingen,Horn-Straße,1,72072,Tübingen,Germany 
0,CRONIMET Holding GmbH;Südbeckenstraße 22 76189 Karlsruhe,Südbeckenstraße,22,76189,Karlsruhe,Germany 
0,W. Classen GmbH & Co. KG;Werner-von-Siemens Str. 18-20 56759 Kaisersesch,Werner-von-Siemens-Straße,18,56759,Kaisersesch,Germany 
0,ARBURG GmbH + Co KG;Arthur-Hehl-Straße 72290 Loßburg,Arthur-Hehl-Straß,Arthur-Hehl-Straße,72290,Loßburg,Germany 
0,ARBURG GmbH + Co KG;Arthur-Hehl-Straße 72290 Loßburg,Arthur-Hehl-Straß,Arthur-Hehl-Straße,72290,Loßburg,Germany 
0,"Wedl Handels-GmbH;Leopold-Wedl-Str. 1, A-6068 Mils",Leopold-Wedl-Straße,1,6068,Mils,Austria 
0,KTM Sportmotorcycle GmbH;Stallhofnerstraße 3 A-5230 Mattighofen Österreich,Betriebsgebiet,Süd,Stallhofnerstraße,3,5230 Mattighofen
0,Geberit International AG;Schachenstrasse 77 CH-8645 Jona,Schachenstrasse,77,8645,Rapperswil-Jona,Switzerland 
0,Tyrolit - Schleifmittelwerke Swarovski AG & Co. K.G.;Swarovskistrasse 33 6130 Schwaz Österreich,Swarovskistraße,33,6130,Schwaz,Austria 
0,GAULHOFER INDUSTRIE-HOLDING GMBH;Am Gewer­be­grund 2 8124 Übelbach ÖSTER­REICH,Am Gewerbegrund,2,8124,Guggenbach,Austria 
0,TRUMPF SE + Co. KG (Holding);Johann-Maus-Straße 2 71254 Ditzingen,Johann-Maus-Straße,2,71254,Ditzingen,Germany 
0,"Transgourmet Österreich GmbH;Egger-Lienz-Straße 15 4050 Traun, Austria",Egger-Lienz-Straße,15,4050,Traun,Austria 
0,"Österreichischer Automobil-, Motorrad- und Touring Club (ÖAMTC);Baumgasse 129, 1030 Wien",Baumgasse,129,1030,Wien,Austria 
0,Messer SE & Co. KGaA;Messer-Platz 1 65812 Bad Soden am Taunus,Messer-Platz,1,65812,Bad Soden am Taunus,Germany 
0,"Borealis AG;Trabrennstr. 6-8 1020 Vienna, Austria",Trabrennstraße,6-8,1020,Wien,Austria 
0,Bilfinger SE;Oskar-Meixner-Straße 1 68163 Mannheim,Oskar-Meixner-Straße,1,68163,Mannheim,Germany 
0,Pfizer Pharma GmbH;Linkstraße 10 10785 Berlin,Linkstraße,10,10785,Berlin,Germany 
0,Stadtbetrieb Frechen GmbH;Gottlieb-Daimler-Str. 10 - 12 50226 Frechen,Gottlieb-Daimler-Straße,10-12,50226,Frechen,Germany 
0,Ruhe Agrar GmbH;Kühlings Kamp 12 49456 Lüsche,Kühlings Kamp,12,49456,Bakum,Germany 
0,e.wa riss Netze GmbH;Freiburger Str. 6 88400 Biberach/Riß,Freiburger Str.,6,88400,Biberach an der Riß,Germany
0,KAESER Kompressoren SE;Carl-Kaeser-Str. 26 D-96450 Coburg,Gewerbegebiet,Bertelsdorf,Carl-Kaeser-Straße,26,96450 Coburg
0,HSM GmbH + Co. KG;Austraße 1-9 88699 Frickingen / Germany,1-,1-9,Austraß,Austraße,88699 Frickingen
0,Honeywell Home GmbH ;Hardhofweg D-74821 Mosbach ,Hardhofweg,40,74821,Mosbach,Germany 
0,GROB-WERKE GmbH & Co. KG;Industriestraße 4 87719 Mindelheim,Hochvogelstraße,3,87719,Mindelheim,Germany 
0,Continental AG ;Hauptverwaltung Vahrenwalder Straße 9 D-30165 Hannover,Vahrenwalder Str.,9,30165,Hannover,Germany 
0,Brose Fahrzeugteile SE & Co. Kommanditgesellschaft;Max-Brose-Straße 1 D-96450 Coburg,Max-Brose-Straße,1,96450,Coburg,Germany 
0,Liebherr-International Deutschland GmbH;Hans-Liebherr-Straße 45 88400 Biberach an der Riß,Hans-Liebherr-Straße,45,88400,Biberach an der Riß,Germany 
0,Kotányi GmbH;Gürtlerstraße 26 87600 Kaufbeuren,Gürtlerstraße,26,87600,Kaufbeuren,Germany 
0,Forster Verkehrs- und Werbetechnik GmbH;Weyrer Straße 135 3340 Waidhofen an der Ybbs,Weyerer Str.,135,3340,Waidhofen an der Ybbs,Austria 
0,ADLER-Werk Lackfabrik Johann Berghofer GmbH & Co KG;Bergwerkstr. 22 A-6130 Schwaz,Bergwerkstraße,22,6130,Schwaz,Austria 
